Z_idx,physics,r_pearson,p_pearson,r_spearman,p_spearman,p_adj
0,Atomic Mass,0.39453197930170714,6.740119297044498e-186,0.25190999575428674,3.132366178444406e-73,2.3590417539655745e-185
0,Electronegativity,-0.23550940748896929,5.6147739792293946e-64,-0.2554951833498431,2.3967721074414177e-75,1.0842322166787795e-63
0,Valence Electrons,0.7397372739931356,0.0,0.6840926294904954,0.0,0.0
0,Atomic Radius,0.11326229561069769,9.534255813727369e-16,0.01345813256865938,0.3413816573202636,1.2273984495832934e-15
0,Thermal Conductivity,-0.22765704008069454,8.60803971572295e-60,-0.2780628857198292,1.867568088364485e-89,1.5804925379688041e-59
0,Density,0.6702702679324899,0.0,0.5722647578288439,0.0,0.0
0,Fusion Heat,0.4460674104912133,4.099811194329168e-243,0.50787986059496,0.0,1.7660725144802569e-242
1,Atomic Mass,-0.1142715929163525,5.284910828715475e-16,-0.1058868864793609,6.069573444872514e-14,6.963647209601567e-16
1,Electronegativity,0.3117628187890924,3.854069484185415e-113,0.33112478145937474,3.1041929710400907e-128,8.992828796432636e-113
1,Valence Electrons,-0.13557975357963306,6.029622081758744e-22,-0.133671009318395,2.2614391747391564e-21,8.548324976670623e-22
1,Atomic Radius,-0.2311988832361948,1.165235145596859e-61,-0.2542278565052666,1.3538337583508413e-74,2.1751056051141367e-61
1,Thermal Conductivity,0.02066768907031065,0.14395590634742092,0.04395618063375086,0.001877873040938097,0.15210435387652022
1,Density,-0.13090771298582768,1.482073866822834e-20,-0.1474820215013965,1.0306236565008185e-25,2.0749034135519676e-20
1,Fusion Heat,-0.01963214652327206,0.16514037630717052,-0.07521963640131124,1.0092721704486505e-07,0.17285721632152426
2,Atomic Mass,-0.5552642787978784,0.0,-0.4873206119416761,1.2832499415533008e-296,0.0
2,Electronegativity,0.40940903908840387,2.1341707713933796e-201,0.40005263629062954,1.47731584334271e-191,7.710552464388984e-201
2,Valence Electrons,-0.5415159298707622,0.0,-0.5052276081307627,0.0,0.0
2,Atomic Radius,-0.4101940021780171,3.0848508838178645e-202,-0.34225662116692085,2.003198132838708e-137,1.1913906861641407e-201
2,Thermal Conductivity,0.08567559779615276,1.2965491900218942e-09,0.17898347115843666,2.886052250961391e-37,1.595752849257716e-09
2,Density,-0.6624719652935256,0.0,-0.691831356597527,0.0,0.0
2,Fusion Heat,-0.21100019366234313,1.9904200787874357e-51,-0.3547031520465724,3.7124672753269804e-148,3.377682557942315e-51
3,Atomic Mass,0.24424480213381244,8.081542574827733e-69,0.05878170969474343,3.1957159682062555e-05,1.6456959425103747e-68
3,Electronegativity,-0.3731663493365609,5.418069405413311e-165,-0.41537241459645335,7.780244649245441e-208,1.5969046668586601e-164
3,Valence Electrons,0.48280783942241795,2.1170971564975146e-290,0.5542024098598091,0.0,1.1855744076386082e-289
3,Atomic Radius,0.21555583172722523,1.2029117229110513e-53,0.1632359914721324,3.352538536052564e-31,2.0727094302467345e-53
3,Thermal Conductivity,-0.138277528609084,9.010679636757798e-23,-0.3187013869887417,2.0174686588456547e-118,1.293841178611376e-22
3,Density,0.40959687665050265,1.3440887100281142e-201,0.34138028542528426,1.0940896717814331e-136,5.01793118410496e-201
3,Fusion Heat,0.250984498682859,1.0881358398119297e-72,0.4546343250560888,1.256500342830433e-253,2.299456869036531e-72
